nationality_id,nationality_name
52,Argentina
18,France
37,Poland
7,Belgium
111,Egypt
21,Germany
54,Brazil
44,Slovenia
14,England
34,Netherlands
136,Senegal
36,Norway
38,Portugal
10,Croatia
72,Costa Rica
167,Korea Republic
27,Italy
45,Spain
42,Scotland
47,Switzerland
4,Austria
51,Serbia
43,Slovakia
23,Hungary
97,Algeria
129,Morocco
60,Uruguay
8,Bosnia and Herzegovina
115,Gabon
103,Cameroon
15,Montenegro
48,Turkey
117,Ghana
13,Denmark
108,Côte d'Ivoire
12,Czech Republic
70,Canada
56,Colombia
133,Nigeria
163,Japan
46,Sweden
105,Central African Republic
95,United States
161,Iran
83,Mexico
17,Finland
3,Armenia
22,Greece
49,Ukraine
110,Congo DR
126,Mali
118,Guinea
82,Jamaica
58,Paraguay
130,Mozambique
219,Kosovo
101,Burkina Faso
123,Libya
35,Northern Ireland
55,Chile
1,Albania
19,North Macedonia
39,Romania
59,Peru
145,Tunisia
40,Russia
57,Ecuador
20,Georgia
195,Australia
50,Wales
61,Venezuela
183,Saudi Arabia
144,Togo
92,Suriname
25,Republic of Ireland
98,Angola
93,Trinidad and Tobago
147,Zambia
116,Gambia
182,Qatar
32,Malta
26,Israel
198,New Zealand
104,Cape Verde Islands
107,Congo
81,Honduras
112,Equatorial Guinea
24,Iceland
140,South Africa
148,Zimbabwe
119,Guinea Bissau
191,Uzbekistan
122,Liberia
31,Luxembourg
207,Dominican Republic
214,Comoros
131,Namibia
146,Uganda
85,Curacao
138,Sierra Leone
99,Benin
124,Madagascar
155,China PR
87,Panama
120,Kenya
102,Burundi
143,Tanzania
181,Philippines
11,Cyprus
53,Bolivia
89,Saint Kitts and Nevis
33,Moldova
190,United Arab Emirates
80,Haiti
9,Bulgaria
186,Syria
162,Iraq
197,Fiji
125,Malawi
188,Thailand
106,Chad
73,Cuba
30,Lithuania
63,Antigua and Barbuda
208,Estonia
150,Bahrain
84,Montserrat
68,Bermuda
215,New Caledonia
88,Puerto Rico
165,Kazakhstan
113,Eritrea
6,Belarus
135,São Tomé e Príncipe
158,Hong Kong
178,Oman
168,Kuwait
29,Liechtenstein
166,Korea DPR
128,Mauritius
78,Guatemala
180,Palestine
28,Latvia
132,Niger
5,Azerbaijan
76,El Salvador
170,Laos
