player_id,short_name,long_name,position_id,club_team_id,nationality_id,nation_team_id
165153,K. Benzema,Karim Benzema,4,243,18,
175943,D. Mertens,Dries Mertens,4,325,7,1325.0
216547,Rafa,Rafael Alexandre Fernandes Ferreira da Silva,4,234,38,
210021,H. Mukhtar,Hany Mukhtar,4,114162,21,
180826,Luiz Adriano,Luiz Adriano de Souza da Silva,4,741,54,
213418,C. Akpom,Chuba Akpom,4,12,14,
230484,Adrián Burnabão,Adrián Guto Negrão Bastos,4,112001,54,
201942,Roberto Firmino,Roberto Firmino Barbosa de Oliveira,4,9,54,
186627,M. Balotelli,Mario Barwuah Balotelli,4,110770,27,
212523,Anderson Talisca,Anderson Souza Conceição,4,112139,54,
204684,M. Seuntjens,Mats Seuntjens,4,634,34,
202477,Deulofeu,Gerard Deulofeu Lázaro,4,55,45,
239837,A. Mac Allister,Alexis Mac Allister,4,1808,52,
225289,N. Fernández,Nicolás Emanuel Fernández,4,111710,52,
224458,Diogo Jota,Diogo José Teixeira da Silva,4,9,38,1354.0
237692,P. Foden,Philip Foden,4,10,14,1318.0
224510,W. Bou,Walter Ariel Bou,4,111710,52,
223231,F. Tănase,Florin Lucian Tănase,4,100761,39,1356.0
241487,J. Ferreira,Jesús David Ferreira Castro,4,695,95,
220739,J. Sornoza,Júnior Nazareno Sornoza Moreira,4,112908,57,
192906,L. Rodríguez,Luis Miguel Rodríguez,4,110406,52,
177388,D. Payet,Dimitri Payet,4,219,18,
232729,C. Tarragona,Cristian Alberto Tarragona,4,101084,52,
229927,Gerson,Gerson Santos da Silva,4,219,54,
202556,M. Depay,Memphis Depay,4,241,34,105035.0
251470,C. De Ketelaere,Charles De Ketelaere,4,231,7,
159413,Muriqui,Luiz Guilherme da Conceição Silva,4,112985,54,
158023,L. Messi,Lionel Andrés Messi Cuccittini,4,73,52,1369.0
200610,K. Volland,Kevin Volland,4,69,21,
208451,R. Quaison,Robin Kwamina Quaison,4,112096,46,1363.0
193301,A. Lacazette,Alexandre Lacazette,4,1,18,
215798,M. Cornet,Gnaly Maxwel Cornet,4,1796,108,
167753,A. Büyük,Adem Büyük,4,113259,48,
193061,R. Pereyra,Roberto Maximiliano Pereyra,4,55,52,
241522,J. Wind,Jonas Older Wind,4,819,13,1331.0
176794,O. Toivonen,Ola Toivonen,4,320,46,
220085,L. Waldschmidt,Gian-Luca Waldschmidt,4,234,21,1337.0
195412,Moisés,Moisés Lima Magalhães,4,111724,54,
234970,D. Terans,Miguel David Terans Pérez,4,101110,60,
205531,V. Verre,Valerio Verre,4,1837,27,
196150,T. Gutiérrez,Teófilo Antonio Gutiérrez Roncancio,4,101101,56,
210126,H. Kiyotake,清武 弘嗣,4,101148,163,
164878,L. Refaelov,Lior Refaelov,4,230,26,
209440,Romarinho,Romário Ricardo da Silva,4,607,54,
233260,A. Vega,Ernesto Alexis Vega Rojas,4,1880,83,
153244,A. Gignac,André-Pierre Christian Gignac,4,1970,18,
213516,Ricardo Horta,Ricardo Jorge da Luz Horta,4,1896,38,
242118,S. Córdova,Francisco Sebastián Córdova Reyes,4,1879,83,1386.0
170369,G. dos Santos,Giovani dos Santos Ramírez,4,1879,83,
238194,N. Bustos,Nahuel Lautaro Bustos,4,112670,52,
223066,A. Chávez,Andrés Eliseo Chávez,4,111711,52,
185422,J. King,Joshua Christian Kojo King,4,1943,36,1352.0
214971,F. Pizzini,Francisco Andrés Pizzini,4,111710,52,
243686,Chiquinho,Francisco Leonel Lima Silva Machado,4,234,38,
200446,Camilo,Camilo da Silva Sanvezzo,4,111678,54,
220763,R. Thomas,Ryan Jared Thomas,4,247,198,111473.0
245155,M. Kudus,Mohammed Kudus,4,1788,117,
207653,M. Bolaños,Miler Alejandro Bolaños Reascos,4,111678,57,
160766,J. Ménez,Jérémy Ménez,4,111817,18,
143001,C. Tévez,Carlos Alberto Tevez,4,1877,52,
