league_id,league_name,scout_country
16,Ligue 1,France
53,La Liga,Spain
13,Premier League,England
19,Bundesliga,Germany
350,Pro League,Saudi Arabia
31,Serie A,Italy
39,Major League Soccer,US
68,Super Lig,Turkey
10,Eredivisie,Neatherlands
308,Liga Portugal,Portugal
7,Serie A,Brazil
4,Jupiler Pro League,Belgium
2012,Super League,China
317,1. HNL,Croatia
54,La Liga 2,Spain
353,Liga Profesional,Argentina
332,Premier League,Ukraine
32,Serie B,Italy
1,Superliga,Denmark
189,Super League,Switzerland
50,Premiership,Scotland
319,Fortuna Liga,Czech Republic
338,Primera Division,Uruguay
351,A-League,Australia
14,Championship,England
63,Super League,Greece
17,Ligue 2,France
335,Primera Division,Chile
337,Primera División,Honduras
83,K League 1,South Korea
80,Bundesliga,Austria
2013,Pro League,UAE
56,Allsvenskan,Sweden
2018,Liga Pro,Ecuador
336,Liga BetPlay,Columbia
64,NB I.,Hungary
20,2. Bundesliga,Germany
41,Eliteserien,Norway
66,Ekstraklasa,Poland
347,Premier League,South Africa
2020,Primera Division,Peru
60,League One,England
318,1. Division,Cyprus
330,Liga 1,Romania
2076,3. Liga,Germany
2017,Liga De Futbol Prof,Bolivia
341,Liga MX,Mexico
349,J-League,Japan
2149,Super League,India
67,Premier League,Russia
2019,Primera Division,Venezuelan
65,Premier Division,Ireland
322,Veikkausliiga,Finland
76,Rest of World,Ukraine
61,League Two,France
